time_s,pitch_deg,pitch_rate_rad_s,elevator_cmd,altitude_ft
3.49,-44.22234624764444,-0.16343051059741429,1.0,4801.145018033683
3.5,-44.31598012717624,-0.16323300616249056,1.0,4799.9536213465035
3.5100000000000002,-44.40949942494646,-0.16303545397307373,1.0,4798.758840218186
3.52,-44.50290410470493,-0.16283787410354433,1.0,4797.560676261783
3.5300000000000002,-44.59619414257446,-0.16264028502020936,1.0,4796.359131097794
3.54,-44.68936952614817,-0.16244270358202442,1.0,4795.154206331819
3.5500000000000003,-44.78243025358619,-0.16224514504953425,1.0,4793.9459035769105
3.56,-44.875376332717636,-0.16204762310156903,1.0,4792.734224461019
3.5700000000000003,-44.968207780151594,-0.16185014985921473,1.0,4791.51917058602
3.58,-45.06092462040134,-0.16165273591656476,1.0,4790.300743576139
3.59,-45.15352688502564,-0.161455390377754,1.0,4789.078945051879
3.6,-45.2460146117911,-0.16125812089976382,1.0,4787.853776622564
3.61,-45.33838784385801,-0.16106093374048994,1.0,4786.62523990497
3.62,-45.43064662899358,-0.1608638338115604,1.0,4785.393336519599
3.63,-45.522791018814345,-0.16066682473539223,1.0,4784.158068083227
3.64,-45.614821068060984,-0.16046990890598295,1.0,4782.91943622008
3.65,-45.706736833907,-0.16027308755293657,1.0,4781.677442535758
3.66,-45.79853837530334,-0.16007636080823504,1.0,4780.432088654488
3.67,-45.890225752360664,-0.15987972777527515,1.0,4779.183376196772
3.68,-45.9817990257701,-0.1596831865997031,1.0,4777.9313067905605
3.69,-46.073258256263756,-0.15948673454159526,1.0,4776.675882034004
3.7,-46.16460350411576,-0.15929036804854885,1.0,4775.417103566229
3.71,-46.2558348286841,-0.1590940828292633,1.0,4774.154972996563
3.72,-46.34695228799379,-0.15889787392721003,1.0,4772.889491952956
3.73,-46.437955938360986,-0.15870173579401234,1.0,4771.620662044734
3.74,-46.528845834058394,-0.1585056623621722,1.0,4770.348484907299
3.75,-46.61962202702086,-0.15830964711680826,1.0,4769.072962161154
3.7600000000000002,-46.7102845665913,-0.15811368316608426,1.0,4767.794095423073
3.77,-46.80083349930573,-0.15791776331003746,1.0,4766.511886317283
3.7800000000000002,-46.89126886871628,-0.15772188010753224,1.0,4765.226336464286
3.79,-46.98159071525174,-0.1575260259410936,1.0,4763.937447492033
3.8000000000000003,-47.07179907611394,-0.15733019307939317,1.0,4762.6452210359275
3.81,-47.16189398520835,-0.15713437373718678,1.0,4761.349658709019
3.8200000000000003,-47.25187547310808,-0.15693856013252616,1.0,4760.0507621355355
3.83,-47.34174356704927,-0.1567427445410876,1.0,4758.748532954603
3.84,-47.43149829095641,-0.1565469193474859,1.0,4757.442972779274
