time_s,gyro_pitch_rad_s
21.52,-0.1494480771640194
21.53,-0.14099882407442219
21.54,-0.1495542241175812
21.55,-0.1367616478878053
21.56,-0.12799525769267356
21.57,-0.12106681152805544
21.58,-0.09872220280256522
21.59,-0.09961502173049915
21.6,-0.10996599149738041
21.61,-0.09005407488520595
21.62,-0.08121504459102884
21.63,-0.06848667955784493
21.64,-0.05778890951529357
21.65,-0.07746923191760519
21.66,-0.06917136138597109
21.67,-0.06740637471179886
21.68,-0.05096479330640341
21.69,-0.037784146792434956
21.7,-0.026429669558547284
21.71,-0.030953020929590822
21.72,-0.027320799298198636
21.73,-0.016575012993687497
21.74,-0.020458907356475434
21.75,0.014725231859976436
21.76,-0.016360414423507285
21.77,0.007395804123099346
21.78,0.031559348665380495
21.79,0.017105712104367277
21.8,0.020788169320505756
21.81,0.024736481295300528
21.82,0.03212604075926792
21.83,0.05326787183204561
21.84,0.02301405878277163
21.85,0.06603773296031096
21.86,0.04200565781974985
21.87,0.05908547447523556
21.88,0.06292521697901778
21.89,0.0785218605540397
21.9,0.06202101819461353
21.91,0.08793161568897734
21.92,0.10879690072445093
21.93,0.0800970366154329
21.94,0.10072681449320516
21.95,0.09723204146301712
21.96,0.11304929700550527
21.97,0.11383242262928762
21.98,0.1119842534123061
21.99,0.12793957504254833
22.0,0.14566570582418273
22.01,0.1301704907286914
22.02,0.14362683049269193
22.03,0.12773534852677756
22.04,0.135228531088977
22.05,0.15352484786546255
22.06,0.16753019078577475
22.07,0.1600112431984214
22.08,0.15696611657413814
22.09,0.16360457412093762
22.1,0.15449398195896533
22.11,0.17629929763845037
22.12,0.18220168305506998
22.13,0.17184840195016418
22.14,0.17452538504348578
22.15,0.18460562078864595
22.16,0.18016436163895605
22.17,0.18631797176278517
22.18,0.21028677146956234
22.19,0.18899173213990592
22.2,0.18991302719306596
22.21,0.1889174353271986
22.22,0.20459331695101093
22.23,0.19696010145573176
22.24,0.19376238840496052
22.25,0.21481633226564711
22.26,0.21701059662945515
22.27,0.19788654263497543
22.28,0.18616749036493663
22.29,0.2157171238385224
22.3,0.19947297513570883
22.31,0.214772322984051
22.32,0.18758275666631313
22.33,0.21649996230063467
22.34,0.19562656227989025
22.35,0.21508604227742434
22.36,0.20783889788998725
22.37,0.19795409255622592
22.38,0.20310198603405907
22.39,0.21359800678037869
22.4,0.20724199216202624
22.41,0.21136336666710392
22.42,0.22451007265873144
22.43,0.18822225956387928
22.44,0.21905078457149804
22.45,0.2028362639134388
22.46,0.1916292143777748
22.47,0.18605091792564007
22.48,0.19611534876072886
22.49,0.205793986725372
22.5,0.19379436905639794
22.51,0.20859829437786057
22.52,0.1773195025460406
22.53,0.18998567457113497
22.54,0.1757919172716996
22.55,0.19009865765760967
22.56,0.19341813114454362
22.57,0.17837222872032574
22.58,0.15451520893575357
22.59,0.18047447572429312
22.6,0.1807333947243158
22.61,0.17824654418133576
22.62,0.18435875930414833
22.63,0.1590506470818331
22.64,0.17428961647426858
